CountryCode,SeriesCode,Year,Description
KSV,SP.POP.TOTL,YR2012,Adjusted for migration.
LBN,SP.POP.TOTL,YR2011,Adjusted for Syrian refugees.
LBN,SP.POP.TOTL,YR2012,Adjusted for Syrian refugees.
LBN,SP.POP.TOTL,YR2013,Adjusted for Syrian refugees.
IRQ,SP.POP.TOTL,YR2011,Adjusted for Syrian refugees.
IRQ,SP.POP.TOTL,YR2012,Adjusted for Syrian refugees.
IRQ,SP.POP.TOTL,YR2013,Adjusted for Syrian refugees.
SYR,SP.POP.TOTL,YR2011,Adjusted for Syrian refugees.
SYR,SP.POP.TOTL,YR2012,Adjusted for Syrian refugees.
SYR,SP.POP.TOTL,YR2013,Adjusted for Syrian refugees.
MDA,SP.POP.TOTL,YR1995,"Adjusted to mid-year population by geometric mean, using official country figure."
MDA,SP.POP.TOTL,YR1996,"Adjusted to mid-year population by geometric mean, using official country figure."
SVN,SP.POP.TOTL,YR2007,"Break in series on Jan 1, 2008: average pop in 2007 is part of new series."
SVN,SP.POP.TOTL,YR2008,"Break in series on Jan 1, 2008: average pop in 2007 is part of new series."
SYC,SP.POP.TOTL,YR2010,Break in series.
POL,SP.POP.TOTL,YR2000,Break in series.
POL,SP.POP.TOTL,YR2011,Break in series.
MLT,SP.POP.TOTL,YR2001,Break in series.
LUX,SP.POP.TOTL,YR2012,Break in series.
HRV,SP.POP.TOTL,YR2011,Break in series.
HUN,SP.POP.TOTL,YR2012,Break in series.
BEL,SP.POP.TOTL,YR2011,Break in series.
BGR,SP.POP.TOTL,YR2007,Break in series.
CHE,SP.POP.TOTL,YR2011,Break in series.
DEU,SP.POP.TOTL,YR2012,Break in series.
FRA,SP.POP.TOTL,YR1998,Break in series.
SGP,SP.POP.TOTL,YR2003,Break in series: revision of estimates from 2003 excluding residents abroad (>=12 months)
MDA,SP.POP.TOTL,YR1960,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1961,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1962,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1963,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1964,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1965,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1966,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1967,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1968,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1969,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1970,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1971,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1972,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1973,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1974,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1975,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1976,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1977,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
MDA,SP.POP.TOTL,YR1978,"Calculated backwards from 1995 using UN WPP2010's growth rate for whole Moldova, and decimal points were deleted."
